episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,lr_actual,buffer_size,train_steps
310,431.0,0.28751085738667914,0.5306279687197684,BALANCED,0.26666666666666666,False,0.0005030627968719769,50000,68785
320,134.0,0.2762152382077845,0.5306279687197684,BALANCED,0.25,True,0.0005030627968719769,50000,73000
330,348.0,0.2653633970962447,0.5306279687197684,BALANCED,0.25,False,0.0005030627968719769,50000,76787
340,500.0,0.2549378990651019,0.5306279687197684,BALANCED,0.23529411764705882,True,0.0005030627968719769,50000,80374
350,379.0,0.24492199410665388,0.5306279687197684,BALANCED,0.23529411764705882,False,0.0005030627968719769,50000,84353
360,500.0,0.23529959028124472,0.5306279687197684,BALANCED,0.2222222222222222,True,0.0005030627968719769,50000,89364
370,500.0,0.2260552278633334,0.5306279687197684,BALANCED,0.2222222222222222,False,0.0005030627968719769,50000,93505
380,500.0,0.21717405450330163,0.5306279687197684,BALANCED,0.21052631578947367,True,0.0005030627968719769,50000,98076
390,139.0,0.20864180136509555,0.5306279687197684,BALANCED,0.21052631578947367,False,0.0005030627968719769,50000,101587
400,213.0,0.2004447602013628,0.5108677014973688,BALANCED,0.2,True,0.0005030627968719769,50000,104915
410,210.0,0.1925697613292529,0.5108677014973688,BALANCED,0.2,False,0.0005010867701497369,50000,108487
420,500.0,0.18500415247149624,0.5108677014973688,BALANCED,0.19047619047619047,True,0.0005010867701497369,50000,112992
430,500.0,0.17773577842876692,0.5108677014973688,BALANCED,0.19047619047619047,False,0.0005010867701497369,50000,117230
440,248.0,0.17075296155067024,0.5108677014973688,BALANCED,0.18181818181818182,True,0.0005010867701497369,50000,121196
450,500.0,0.16404448297397844,0.5108677014973688,BALANCED,0.18181818181818182,False,0.0005010867701497369,50000,125246
460,500.0,0.15759956459797217,0.5108677014973688,BALANCED,0.17391304347826086,True,0.0005010867701497369,50000,130335
470,170.0,0.1514078517679273,0.5108677014973688,BALANCED,0.17391304347826086,False,0.0005010867701497369,50000,134518
480,284.0,0.1454593966389271,0.5108677014973688,BALANCED,0.16666666666666666,True,0.0005010867701497369,50000,139344
490,500.0,0.13974464219327035,0.5108677014973688,BALANCED,0.16666666666666666,False,0.0005010867701497369,50000,144344
500,500.0,0.13425440688579773,0.5108677014973688,BALANCED,0.16,True,0.0005010867701497369,50000,148196
510,500.0,0.12897986989246676,0.5108677014973688,BALANCED,0.16,False,0.0005010867701497369,50000,151952
520,68.0,0.12391255693847539,0.5108677014973688,BALANCED,0.15384615384615385,True,0.0005010867701497369,50000,155512
530,500.0,0.11904432668316481,0.5108677014973688,BALANCED,0.15384615384615385,False,0.0005010867701497369,50000,159551
540,500.0,0.11436735763982718,0.5108677014973688,BALANCED,0.14814814814814814,True,0.0005010867701497369,50000,164330
550,500.0,0.10987413560940311,0.5108677014973688,BALANCED,0.14814814814814814,False,0.0005010867701497369,50000,168766
560,500.0,0.1055574416078793,0.5108677014973688,BALANCED,0.14285714285714285,True,0.0005010867701497369,50000,172747
570,500.0,0.10141034026799003,0.5108677014973688,BALANCED,0.14285714285714285,False,0.0005010867701497369,50000,176990
580,464.0,0.09742616869658832,0.5108677014973688,BALANCED,0.13793103448275862,True,0.0005010867701497369,50000,182453
590,500.0,0.09359852576978456,0.5108677014973688,BALANCED,0.13793103448275862,False,0.0005010867701497369,50000,186671
600,500.0,0.08992126184865366,0.5108677014973688,BALANCED,0.13333333333333333,True,0.0005010867701497369,50000,191270
610,500.0,0.08638846889898776,0.5108677014973688,BALANCED,0.13333333333333333,False,0.0005010867701497369,50000,195388
620,500.0,0.08299447099922024,0.5333164235197838,BALANCED,0.16129032258064516,True,0.0005010867701497369,50000,200115
630,500.0,0.07973381522127101,0.5333164235197838,BALANCED,0.16129032258064516,False,0.0005033316423519783,50000,203739
640,500.0,0.07660126286966178,0.5333164235197838,BALANCED,0.15625,True,0.0005033316423519783,50000,208753
650,90.0,0.07359178106482545,0.5333164235197838,BALANCED,0.15625,False,0.0005033316423519783,50000,212345
660,156.0,0.07070053465708762,0.5557078362559045,BALANCED,0.18181818181818182,True,0.0005033316423519783,50000,215352
670,130.0,0.06792287845832834,0.5557078362559045,BALANCED,0.18181818181818182,False,0.0005055707836255905,50000,217199
680,500.0,0.0652543497788435,0.5557078362559045,BALANCED,0.17647058823529413,True,0.0005055707836255905,50000,221908
690,37.0,0.06269066125741533,0.5557078362559045,BALANCED,0.17647058823529413,False,0.0005055707836255905,50000,225750
700,500.0,0.060227693973072156,0.5557078362559045,BALANCED,0.17142857142857143,True,0.0005055707836255905,50000,230562
710,500.0,0.05786149082747104,0.5557078362559045,BALANCED,0.17142857142857143,False,0.0005055707836255905,50000,235562
720,500.0,0.05558825018727078,0.5463387199877069,BALANCED,0.16666666666666666,True,0.0005055707836255905,50000,240385
730,500.0,0.05340431977628095,0.5463387199877069,BALANCED,0.16666666666666666,False,0.0005046338719987707,50000,244822
740,55.0,0.05130619080757393,0.5463387199877069,BALANCED,0.16216216216216217,True,0.0005046338719987707,50000,248914
750,500.0,0.049290492346132406,0.5463387199877069,BALANCED,0.16216216216216217,False,0.0005046338719987707,50000,253152
760,500.0,0.04735398589297496,0.5463387199877069,BALANCED,0.15789473684210525,True,0.0005046338719987707,50000,258212
770,500.0,0.045493560182058565,0.5463387199877069,BALANCED,0.15789473684210525,False,0.0005046338719987707,50000,262937
780,500.0,0.04370622618159841,0.5558535490716168,BALANCED,0.1794871794871795,True,0.0005046338719987707,50000,268261
790,500.0,0.04198911229177408,0.5558535490716168,BALANCED,0.1794871794871795,False,0.0005055853549071617,50000,272311
