episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual,infrastructure_loop_speed,infrastructure_automation,infrastructure_error_tolerance
100,19.0,0.6027415843082742,0.47656518788168456,ADAPTIVE,0.3,0.4,0.3,-0.3178009875037474,True,decisive_loss,-60.0,0.5386871459302428,ascending,0.0005584060986122916,0.3,0.8,0.08
110,45.0,0.5732736268885887,0.46704461531477026,ADAPTIVE,0.2727272727272727,0.4090909090909091,0.3181818181818182,-0.3574187998780354,True,loss,-33.0,0.537000749302216,ascending,0.000552125903128246,0.3,0.8,0.08
120,30.0,0.5452463540625918,0.4387182594619728,ADAPTIVE,0.25,0.4583333333333333,0.2916666666666667,-0.47950922790120865,True,loss,-18.0,0.5404028137823741,ascending,0.0005424419957769487,0.3,0.8,0.08
130,62.0,0.5185893309484582,0.40026438624870414,ADAPTIVE,0.23076923076923078,0.5,0.2692307692307692,-0.578402474599979,True,decisive_loss,-58.0,0.5321819708690063,ascending,0.0005327305187247846,0.3,0.8,0.08
140,29.0,0.4932355662165453,0.4009868955551978,ADAPTIVE,0.25,0.5,0.25,-0.458506004425983,True,decisive_win,100.0,0.5340524389819156,ascending,0.0005196348027428374,0.3,0.8,0.08
150,62.0,0.46912134373457726,0.4123864500781737,ADAPTIVE,0.26666666666666666,0.5,0.23333333333333334,-0.36138986358504616,True,decisive_win,86.0,0.5345643157017991,ascending,0.000523773206503657,0.3,0.8,0.08
160,119.0,0.446186062443672,0.39364882257117817,DETERMINED,0.25,0.53125,0.21875,-0.4827257895038874,True,loss,-42.0,0.5316819361496958,ascending,0.0005273116098955766,0.3,0.8,0.08
170,12.0,0.42437208406280985,0.4049317499545894,ADAPTIVE,0.2647058823529412,0.5294117647058824,0.20588235294117646,-0.4010078894981488,True,loss,-50.0,0.529164890551009,ascending,0.0005312141486608023,0.3,0.8,0.08
180,16.0,0.4036245882390106,0.39565529950628336,DETERMINED,0.25,0.5277777777777778,0.2222222222222222,-0.4148163904935005,True,draw,-12.0,0.520493208348171,ascending,0.0005249401806341113,0.3,0.8,0.08
190,51.0,0.38389143477919885,0.38665340879122045,DETERMINED,0.23684210526315788,0.5263157894736842,0.23684210526315788,-0.4260012762997354,True,draw,-6.0,0.5252367631345957,ascending,0.0005219155453538502,0.3,0.8,0.08
200,144.0,0.36512303261753626,0.4068662391271201,ADAPTIVE,0.25,0.5,0.25,-0.2450610338027857,True,decisive_win,93.0,0.5281559179944486,ascending,0.0005219155453538502,0.3,0.8,0.08
210,23.0,0.3472722151889232,0.39774157797196275,DETERMINED,0.23809523809523808,0.5,0.2619047619047619,-0.2984994373802564,True,loss,-15.0,0.531825425063947,ascending,0.0005287070563467123,0.3,0.8,0.08
220,25.0,0.3302941218954743,0.3875697704758143,DETERMINED,0.25,0.5,0.25,-0.25178454427800767,True,decisive_loss,-117.0,0.5308259492655623,ascending,0.0005287334712978252,0.3,0.8,0.08
230,35.0,0.3141460853680822,0.4059683169778691,BALANCED,0.2826086956521739,0.4782608695652174,0.2391304347826087,-0.013945480865186266,True,win,6.0,0.5327182321519116,ascending,0.0005254603666393391,0.3,0.8,0.08
240,52.0,0.2987875242397482,0.3969311942711683,DETERMINED,0.2708333333333333,0.4791666666666667,0.25,-0.11129583950080085,True,loss,-22.0,0.5311296925433269,ascending,0.0005284053545045641,0.3,0.8,0.08
250,18.0,0.28417984116121187,0.3792348075116303,DETERMINED,0.26,0.5,0.24,-0.28014962999564863,True,loss,-10.0,0.5311681334689851,ascending,0.0005223734929209446,0.3,0.8,0.08
260,159.0,0.2702863258025825,0.36142952953439356,DETERMINED,0.25,0.5192307692307693,0.23076923076923078,-0.4169212002964754,True,loss,-16.0,0.5345168279754619,ascending,0.000516466645692617,0.3,0.8,0.08
270,34.0,0.2570720625972084,0.3437139163240018,DETERMINED,0.24074074074074073,0.5370370370370371,0.2222222222222222,-0.527706172240145,True,loss,-10.0,0.5341043254783098,ascending,0.0005104921589176469,0.3,0.8,0.08
280,110.0,0.24450384299593592,0.3146630344941003,DETERMINED,0.23214285714285715,0.5535714285714286,0.21428571428571427,-0.6174419995145175,True,decisive_loss,-141.0,0.5366167395703225,ascending,0.0005044728861601719,0.3,0.8,0.08
290,62.0,0.23255008201124722,0.3238787054746254,DETERMINED,0.2413793103448276,0.5344827586206896,0.22413793103448276,-0.4101280196067592,True,draw,-4.0,0.5343399287894174,ascending,0.0005008232450394741,0.3,0.8,0.08
