episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual,infrastructure_loop_speed,infrastructure_automation,infrastructure_error_tolerance
130,331.0,0.5185893309484582,0.5733808099766959,ADAPTIVE,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.2796242001732848,True,win,22.0,0.48926328600230945,ascending,0.0006022467955330139,0.1,0.9,0.05
140,105.0,0.4932355662165453,0.5617730975266941,ADAPTIVE,0.4642857142857143,0.39285714285714285,0.14285714285714285,0.21649560214036073,True,decisive_loss,-148.0,0.498293514636539,ascending,0.0006086791696919731,0.1,0.9,0.05
150,17.0,0.46912134373457726,0.5793804328580962,ADAPTIVE,0.5,0.36666666666666664,0.13333333333333333,0.3653614377336922,True,win,8.0,0.49970108635748695,ascending,0.0006045596359931364,0.1,0.9,0.05
160,109.0,0.446186062443672,0.6084508728307709,CONFIDENT,0.53125,0.34375,0.125,0.48594276456429064,True,win,52.0,0.5029099622724534,ascending,0.000614341703685195,0.1,0.9,0.05
170,58.0,0.42437208406280985,0.6277805995950912,CONFIDENT,0.5294117647058824,0.3235294117647059,0.14705882352941177,0.48361363929707546,True,draw,5.0,0.514053546967274,ascending,0.0006244676486590919,0.1,0.9,0.05
180,81.0,0.4036245882390106,0.6275825998583373,CONFIDENT,0.5277777777777778,0.3333333333333333,0.1388888888888889,0.4017270478306311,True,win,30.0,0.5168043871212136,ascending,0.0006211254544615978,0.1,0.9,0.05
190,158.0,0.38389143477919885,0.6275825998583373,CONFIDENT,0.5,0.3157894736842105,0.18421052631578946,0.3253989087428112,True,draw,-7.0,0.5204462319614951,ascending,0.0006243987447507015,0.1,0.9,0.05
200,163.0,0.36512303261753626,0.6275819867487076,CONFIDENT,0.5,0.325,0.175,0.2535731160816771,True,loss,-9.0,0.52641123272312,ascending,0.0006274486973918192,0.1,0.9,0.05
210,161.0,0.3472722151889232,0.6185306985266668,CONFIDENT,0.47619047619047616,0.3333333333333333,0.19047619047619047,0.11539422402615848,True,draw,2.0,0.5327844999534911,ascending,0.0006212486830872801,0.1,0.9,0.05
220,124.0,0.3302941218954743,0.6273365135410771,CONFIDENT,0.4772727272727273,0.3181818181818182,0.20454545454545456,0.18346932146118836,True,draw,-5.0,0.5394172716728384,ascending,0.000624313106712295,0.1,0.9,0.05
230,39.0,0.3141460853680822,0.6361423285554875,CONFIDENT,0.4782608695652174,0.30434782608695654,0.21739130434782608,0.23861015038356254,True,draw,7.0,0.5387737460715922,ascending,0.0006273775303373098,0.1,0.9,0.05
240,121.0,0.2987875242397482,0.6361423285554875,CONFIDENT,0.4583333333333333,0.2916666666666667,0.25,0.19327422181068565,True,draw,0.0,0.544396730018225,ascending,0.0006273775303373098,0.1,0.9,0.05
250,18.0,0.28417984116121187,0.6455256356736472,CONFIDENT,0.46,0.28,0.26,0.24655211966665538,True,draw,-4.0,0.5487647262165213,ascending,0.0006306429212144293,0.1,0.9,0.05
260,114.0,0.2702863258025825,0.6454045775844128,CONFIDENT,0.46153846153846156,0.28846153846153844,0.25,0.18970721692999087,True,loss,-29.0,0.556186518842562,ascending,0.0006338270657129279,0.1,0.9,0.05
270,14.0,0.2570720625972084,0.6456235817872011,CONFIDENT,0.46296296296296297,0.2962962962962963,0.24074074074074073,0.14366284571329263,True,loss,-9.0,0.558560800575029,ascending,0.0006338190220743976,0.1,0.9,0.05
280,16.0,0.24450384299593592,0.6456235817872011,CONFIDENT,0.44642857142857145,0.2857142857142857,0.26785714285714285,0.11636690502776703,True,draw,1.0,0.5590941821354959,ascending,0.0006306770064619461,0.1,0.9,0.05
290,117.0,0.23255008201124722,0.6456235817872011,CONFIDENT,0.43103448275862066,0.27586206896551724,0.29310344827586204,0.0942571930724913,True,draw,-6.0,0.5495374399938142,ascending,0.0006306770064619461,0.1,0.9,0.05
